,q,ch,a,answer_mcq,score
23,29. Indeks yang menunjukkan harga 45 saham yang sangat sering diperdagangkan atau sangat likuid disebut  ,"a. IHSG 
b.Indeks saham likuid
c.Indeks sektoral
d.Indeks LQ45 
e.IHSG 45 ",Jawaban : D ,"Based on the provided context, which is a description of the Indonesian Capital Market Regulation No. 22/POJK.04/2021 regarding the implementation of Multiple Voting Rights Shares by innovative companies with high growth rates that conduct public offerings of equity securities in the form of shares, here are the answers to your questions:

1. What are the allowed methods for distributing electronic documents in this regulation?

According to Pasal 16 Ayat (1), electronic documents can be distributed using digital compact discs, flash drives, or other electronic media.

2. Can you explain the example of a new controller's active role in changing Multiple Voting Rights Shares to regular shares?

According to Pasal 16 Ayat (2), a new controller has an active role in changing Multiple Voting Rights Shares to regular shares. For example, if Multiple Voting Rights Shares holders own 4% (empat persen) of the shares, which consist of:

a. Multiple Voting Rights Shares A holders own 1% (satu persen)
b. Multiple Voting Rights Shares B holders own 2% (dua persen)
c. Multiple Voting Rights Shares C holders own 1% (satu persen)

Then, the new controller must ensure that the Multiple Voting Rights Shares are converted to regular shares according to the regulations.

3. What is the penalty for a company that violates the rules regarding the prohibition of certain activities in this regulation?

According to Pasal 104A, which was added to the Indonesian Capital Market Law No. 4/2023, a company that violates the rules regarding the prohibition of certain activities will be subject to imprisonment for a minimum of 1 (one) year and a maximum of 5 (five) years and a fine of at least Rp1.500.000.000,00 (one billion five hundred million rupiah) and a maximum of Rp50.000.000.000,00 (fifty billion rupiah).

4. What is the minimum percentage of shares that Multiple Voting Rights Shares holders must hold according to this regulation?

According to Pasal 16 Ayat (4), Multiple Voting Rights Shares holders must hold a minimum of 2.44% (dua koma empat puluh empat persen) of the total issued and paid-up shares.

5. Which of the given options is the index that indicates the price of 45 highly traded or liquid shares?

According to the provided context, none of the given options (IHSG, Index saham likuid, Indeks sektoral, Indeks LQ45, IHSG 45) is the correct answer. However, the Indeks LQ45 is an index that includes 45 highly traded or liquid shares, so it is the closest option.",0
24,30. Indeks yang terdiri dari 39 jenis saham yang dipilih berdasarkan aturan syariah islam adalah :,"a. Indeks LQ45 
b. IHSG 
c. Indeks Sektoral 
d. Indeks Syariah 
e. Indeks Kompas 100 Pembahasan :",Jawaban : D ,"Based on the provided context, which is POJK Number 30/POJK.04/2",0
25,"31. Selembar kertas yang menyatakan bahwa pemilik kertas tersebut telah membeli utang perusahaan yang menerbitkannya, disebut","a. saham 
b. obligasi 
c. reksa dana 
d. modal 
e. utang",Jawaban : B ,"Based on the provided context, which is the Lampiran Keputusan Ketua Badan Pengawas Pasar Modal dan Lembaga Keuangan Nomor: KEP-691/BL/2",0
26,34. Pihak yang kegiatan usahanya mengelola efek untuk para nasabah disebut  ,"a. investor
b. debitur
c. broker
d. emiten sekuritas
e. manajer investasi",Jawaban : E ,"The term for those who manage securities for clients or investors, according to the context provided, is not mentioned in the options. However, based on the context, the term that fits best is:

d. emiten sekuritas

This term is closest in meaning to the role of a party that manages securities for clients or investors, as mentioned in the context. However, it's important to note that the exact term is not specified in the provided context.

Context: PERATURAN OTORITAS JASA KEUANGAN NOMOR 20/POJK.04/2016 TENTANG PERIZINAN PERUSAHAAN EFEK YANG MELAKUKAN KEGIATAN USAHA SEBAGAI PENJAMIN EMISI EFEK DAN PERANTARA PEDAGANG EFEK.",0
27,35. Undang-undang yang mengatur pasar modal Indonesia adalah  ,"a. UU No. 1 Tahun 1995 
b. UU No. 8 Tahun 1995 
c. UU No. 18 Tahun 1995 
d. UU No. 8 Tahun 2000 
e. UU No, 1 Tahun 2000 ",Jawaban : B ,"Based on the provided context, specifically the amendment to the Commodity Futures Trading Law in the 'Undang-Undang Republik Indonesia Nomor 4 Tahun 2023 Tentang Pengembangan Dan Penguatan Sektor Keuangan' (Indonesian Financial Sector Development and Strengthening Law of the Year 2023), a new article, Pasal 3A, is inserted between Pasal 3 and Pasal 4 of the Commodity Futures Trading Law.

Pasal 3A states that the laws governing the Indonesian capital market are:
a. UU No. 1 Tahun 1995 (Law No. 1 of 1995)
b. UU No. 8 Tahun 1995 (Law No. 8 of 1995)

Therefore, based on the provided information, the Undang-Undang No. 8 Tahun 1995 (Law No. 8 of 1995) is one of the laws governing the Indonesian capital market.",1
28,36. Pasar di mana pertama kali suatu perusahaan menawarkan sahamnya kepada public disebut  ,"a. pasar pertama 
b. pasar sekunder
c. pasar tunai
d. pasar perdana
e. pasar negosias",Jawaban : B ,"The correct answer is d. pasar perdana.

According to the 'Peraturan Otoritas Jasa Keuangan Nomor 76/POJK.04/2",0
29,37. Instrumen (jenis investasi) pasar modal pada umumnya berjangka waktu diatas  ,"a. satu bulan
b. tiga bulan
c. enam bulan 
d. Sembilan bulan
e. satu tahun",Jawaban : E ,"Based on the regulation you've provided, which is Undang-Undang Republik Indonesia Nomor 4 Tahun 2",0
30,39. Lembaga atau otoritas tertinggi di pasar modal yang melakukan pengawasan dan pembinaan atas pasar modal adalah: ,"a. Bursa Efek 
b. Kustodian
c. Bapepam
d. BAE 
e. Manajer Investasi ",Jawaban : C ,"Based on the provided context, specifically the Regulation of the Republic of Indonesia Number 42 in 2019 about the Revocation of the Regulation of the Republic of Indonesia Number 46 in 1995 about the Procedures of Supervision in the Capital Market, I can answer the following questions:

1. Who is responsible for regulating and supervising the capital market in Indonesia?

According to the Regulation of the Republic of Indonesia Number 42 in 2019, the Financial Services Authority (OJK) is responsible for regulating and supervising the capital market in Indonesia, including the banking sector, the capital market sector, and the insurance, pension, lending, and other financial services sectors.

2. What is the role of the Financial Services Authority (OJK) in the capital market?

The Financial Services Authority (OJK) is responsible for supervising the capital market in Indonesia, including conducting examinations of capital market activities. This authority is granted by the Indonesian Capital Market Law, specifically Article 3, Article 4, and Article 5, as well as Law Number 21 in 2011 about the Financial Services Authority.

3. What is the authority of the Financial Services Authority (OJK) in handling objections and preventing losses to the public in the capital market?

According to the Regulation of the Republic of Indonesia Number 42 in 2019, the Financial Services Authority (OJK) has the authority to handle objections from parties who have been sanctioned by the OJK, capital market institutions, stock exchanges, clearing and guarantee institutions, or storage and settlement institutions. The OJK can also take necessary actions to prevent losses to the public in the capital market as a result of violations of capital market regulations. This authority is granted by Article 5, point c, number 10 and number 11 of the Regulation of the Republic of Indonesia Number 42 in 2019.

4. What is the role of the Capital Market Supervisory Agency (Bapepam) in the capital market?

According to Law Number 8 in 1995 about the Capital Market, Article 4, the Capital Market Supervisory Agency (Bapepam) is responsible for regulating, organizing, and supervising the capital market with the aim of creating an orderly, fair, and efficient capital market that protects the interests of investors and the public. This role is further supported by Article 5, letter e and Article 100 of the same law, which grants Bapepam the authority to conduct examinations in the capital market for the purpose of creating an orderly, fair, and efficient capital market that protects the interests of investors and the public. This authority is implemented through the issuance of Government Regulation Number 46 in 1995 about the Procedures of Supervision in the Capital Market.

5. Who is the highest authority or institution in the capital market that conducts supervision and development?

According to the provided context, the highest authority or institution in the capital market that conducts supervision and development is the Financial Services Authority (OJK).",0
31,40. Menyebarluaskan informasi-informasi bursa ke masyarakat adalah tugas,"a. Bapepam 
b. KSEI 
c. Emiten 
d. Bursa Efek 
e. Wali Amanat ",Jawaban : D ,"Based on the provided context, which is the Regulation of the Financial Services Authority (OJK) Number 43/POJK.04/2",0
32,"41. Bank yang bertindak sebagai tempat penyimpanan dan penitipan uang, surat-surat berharga, maupun barang-barang berharga lainnya adalah","a. Bank Indonesia 
b. Bank Kustodian 
c. Wali Amanat 
d. Bursa Efek 
e. Manajer Investasi ",Jawaban : B,"Based on the provided context, which is the Indonesian Capital Market Law No.8/1995, specifically articles 43, 44, and the explanation of article 56, along with the Regulation of the Financial Services Authority (OJK) No.3/POJK.04/2",0
33,"44. Sejak tahun 1995, BEJ telah menggunakan sistem perdagangan otomatis yang di kenal dengan istilah","a. remote trading 
b. Scripless trading 
c. Jakarta automated trading system (JATS)
d. Automatic trading 
e. Halting system ",Jawaban : C ,"The capital market regulation in Indonesia that I will be referring to is the Law No. 8 Year 1995 concerning Capital Market, specifically on the manipulation and regulation of securities trading. Furthermore, I will also utilize the following regulations: POJK No. 22/POJK.04/2017 regarding Securities Transactions Reporting and POJK No. 22/POJK.04/2",1
34,45. Istilah yang menunjukan satuan perdagangan saham adalah,"a.Fraksi harga
b.Unit penyertaan
c.Unit
d.Lot 
e.Nominal ", Jawaban : D ,Pasal 15 Ayat (1) Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 15/POJK.04/2,0
35,46. Satu lot saham berjumlah  ,"a. 100 
b. 200 
c. 500 
d. 1000 
e. 5000 ",Jawaban : C ,"Based on the provided context, which is the explanation of Financial Services Authority Regulation No. 15/POJK.04/2",0
36,47. Kelipatan harga saham disebut ,"a. Lot
b. Poin
c. Add lot
d. Gain
e. loss",Jawaban : B ,"The correct answer is a. Lot.

In the context of securities trading, a lot refers to a standardized unit of measurement for trading. It is often used to determine the minimum number of shares or bonds that can be bought or sold in a single transaction. The term ""lot"" is commonly used in the Indonesian capital market regulation, including in the regulation you mentioned, PERATURAN OTORITAS JASA KEUANGAN NOMOR 30/POJK.04/2017 TENTANG PEMBELIAN KEMBALI SAHAM YANG DIKELUARKAN OLEH PERUSAHAAN TERBUKA.",0
37,48. Perdagangan saham yang kurang dari 1 lot disebut  ,"a. Lot
b. Poin
c. Add lot
d. Gain
e. loss",Jawaban : C ,The term for trading shares that is less than one trading lot in the Indonesian capital market is called 'saham odd lot'. This is stated in the OJK Regulation Number 15/POJK.04/2,0
