,answer
25,"Dalam konteks yang diberikan, pengertian afiliasi adalah sebagai berikut:

1. Hubungan keluarga karena perkawinan dan keturunan sampai derajat kedua, baik secara horizontal maupun vertikal.
2. Hubungan antara pihak dengan pegawai, direktur, atau komisaris dari pihak tersebut.
3. Hubungan antara 2 (dua) perusahaan di mana terdapat 1 (satu) atau lebih anggota direksi atau dewan komisaris yang sama.
4. Hubungan antara perusahaan dan pihak, baik langsung maupun tidak langsung, mengendalikan atau dikendalikan oleh perusahaan tersebut.
5. Hubungan antara 2 (dua) perusahaan yang dikendalikan, baik langsung maupun tidak langsung, oleh perusahaan tersebut.

Pengertian afiliasi ini diatur dalam Peraturan Otoritas Jasa Keuangan (POJK) Nomor 64/POJK.04/2017 tentang Transaksi Afiliasi dan Transaksi Benturan Kepentingan."
26,"Perusahaan Terbuka wajib melakukan beberapa hal saat melakukan transaksi afiliasi, yaitu:

1. Memiliki prosedur yang memadai untuk memastikan bahwa transaksi afiliasi dilaksanakan sesuai dengan praktik bisnis yang berlaku umum. Hal ini diatur dalam Pasal 2 dari Peraturan Otoritas Jasa Keuangan (POJK) No. 35/POJK.04/2014 tentang Transaksi Afiliasi dan Transaksi Benturan Kepentingan pada Emiten atau Perusahaan Publik.

2. Menyimpan dokumen terkait pelaksanaan prosedur tersebut dalam jangka waktu penyimpanan dokumen sesuai dengan ketentuan peraturan perundang-undangan. Hal ini diatur dalam Pasal 2 ayat (2) dari POJK No. 35/POJK.04/2014.

3. Menggunakan Penilai untuk menentukan nilai wajar dari objek transaksi afiliasi dan/atau kewajaran transaksi tersebut. Hal ini diatur dalam Pasal 4 ayat (1) huruf a dari POJK No. 35/POJK.04/2014.

4. Mengumumkan keterbukaan informasi atas setiap transaksi afiliasi kepada masyarakat. Hal ini diatur dalam Pasal 4 ayat (1) huruf b dari POJK No. 35/POJK.04/2014.

5. Menyampaikan keterbukaan informasi dan dokumen pendukungnya kepada Otoritas Jasa Keuangan (OJK). Hal ini diatur dalam Pasal 4 ayat (1) huruf c dari POJK No. 35/POJK.04/2014.

6. Memperoleh persetujuan Pemegang Saham Independen dalam Rapat Umum Pemegang Saham (RUPS) sebelum melakukan transaksi afiliasi dengan nilai yang memenuhi batasan nilai transaksi material yang wajib memperoleh persetujuan Pemegang Saham Independen. Hal ini diatur dalam Pasal 4 ayat (1) huruf d dari POJK No. 35/POJK.04/2014.

Jadi, hal-hal yang wajib dilakukan oleh perusahaan terbuka saat melakukan transaksi afiliasi adalah memiliki prosedur yang memadai, menyimpan dokumen terkait, menggunakan penilai, mengumumkan keterbukaan informasi, menyampaikan informasi kepada OJK, dan memperoleh persetujuan Pemegang Saham Independen jika nilai transaksi memenuhi batasan nilai transaksi material."
27,"Dalam konteks yang diberikan, tidak disebutkan secara spesifik pasal yang mengatur mengenai sanksi administratif bagi setiap pelanggaran ketentuan. Oleh karena itu, saya tidak dapat memberikan informasi yang akurat mengenai pasal yang tepat."
28,"Dalam ayat 1 huruf c, yang dimaksud dengan ""dokumen"" adalah dokumen perjanjian jual beli."
29,"Dalam konteks yang diberikan, terdapat beberapa informasi terkait pengungkapan transaksi afiliasi. Namun, tidak ada informasi yang secara spesifik memberikan uraian mengenai transaksi afiliasi. Oleh karena itu, saya tidak dapat memberikan uraian yang spesifik mengenai transaksi afiliasi berdasarkan konteks yang diberikan. Mohon maaf, sepertinya database saya saat ini tidak memiliki informasi yang cukup untuk menjawab pertanyaan Anda."
30,"Fakta Material adalah informasi atau fakta penting dan relevan mengenai peristiwa, kejadian, atau fakta yang dapat mempengaruhi harga Efek pada bursa Efek dan/atau keputusan pemodal, calon pemodal, atau pihak lain yang berkepentingan atas informasi atau fakta tersebut. Hal ini diatur dalam Pasal 1 angka 13 Peraturan Otoritas Jasa Keuangan Nomor 31/POJK.04/2015 tentang Keterbukaan Informasi atau Fakta Material oleh Emiten atau Perusahaan Publik."
31,"Peraturan Otoritas Jasa Keuangan ini berlaku untuk semua pihak yang terlibat dalam kegiatan di pasar modal, termasuk Emiten, Penjamin Emisi Efek, Perantara Pedagang Efek, dan pemodal."
32,"Berdasarkan informasi yang diberikan, jumlah komisaris independen yang wajib dimiliki oleh Emiten Skala Kecil dan Emiten Skala Menengah adalah 1 (satu) orang. Hal ini diatur dalam Pasal 5 Peraturan Otoritas Jasa Keuangan Nomor 53/POJK.04/2017 tentang Aset Skala Kecil atau Emiten dengan Aset Skala Menengah."
33,Emitten Skala Kecil dan Emitten Skala Menengah yang efeknya tercatat di bursa wajib melakukan pengumuman kepada masyarakat melalui Situs Web Emitten dan Situs Web bursa. Hal ini diatur dalam Peraturan Otoritas Jasa Keuangan Nomor 53/POJK.04/2017 tentang Aset Skala Kecil atau Emitten dengan Aset Skala Menengah. (Pasal 3 huruf b)
34,"Mohon maaf, sepertinya database saya saat ini tidak memiliki informasi yang cukup untuk menjawab pertanyaan Anda."
35,"Selain sanksi administratif, Otoritas Jasa Keuangan (OJK) juga dapat melakukan tindakan tertentu terhadap setiap pihak yang melakukan pelanggaran ketentuan Peraturan OJK. Tindakan tersebut dapat mencakup pembatasan kegiatan usaha, pembekuan kegiatan usaha, pencabutan izin usaha, pembatalan persetujuan, dan pembatalan pendaftaran. Hal ini diatur dalam Pasal 9 ayat (1) huruf c, huruf d, huruf e, huruf f, dan huruf g Peraturan OJK Nomor 1/POJK.07/2013 tentang Penyelenggaraan Kegiatan Usaha Pihak Ketiga yang Melibatkan Dalam Penawaran Umum Efek."
36,"Perusahaan publik adalah perseroan yang sahamnya telah dimiliki paling sedikit oleh 300 pemegang saham dan memiliki modal disetor paling sedikit Rp3.000.000.000,00 atau suatu jumlah pemegang saham dan modal disetor yang ditetapkan dengan Peraturan Pemerintah. (Peraturan Otoritas Jasa Keuangan No. 32/POJK.04/2015 tentang Rencana dan Penyelenggaraan Rapat Umum Pemegang Saham Emiten atau Perusahaan Publik, Pasal 1 angka 13)"
37,"Situs web adalah sebuah halaman atau kumpulan halaman yang dapat diakses melalui internet dan berisi informasi, konten, atau layanan yang disediakan oleh suatu entitas atau organisasi."
38,"Mohon maaf, sepertinya database saya saat ini tidak memiliki informasi yang cukup untuk menjawab pertanyaan Anda."
39,"Mohon maaf, sepertinya database saya saat ini tidak memiliki informasi yang cukup untuk menjawab pertanyaan Anda."
40,"Maksud dan tujuan undang-undang tentang pengembangan dan penguatan sektor keuangan adalah untuk menyelenggarakan kegiatan di sektor jasa keuangan secara teratur, adil, transparan, akuntabel, dan mampu mewujudkan sistem keuangan yang tumbuh secara berkelanjutan dan stabil. Undang-undang ini juga bertujuan untuk melindungi kepentingan konsumen dan masyarakat serta meningkatkan efektivitas dan keadilan dalam penegakan hukum di bidang pasar modal."
41,"Ruang lingkup dari Undang-Undang tentang Pengembangan dan Penguatan Sektor Keuangan adalah mengatur tentang sektor keuangan secara umum, termasuk perbankan, pasar modal, dan industri keuangan non-bank. Undang-Undang ini juga mengatur tentang Otoritas Jasa Keuangan (OJK) sebagai lembaga yang bertanggung jawab dalam mengawasi dan mengatur sektor keuangan di Indonesia."
42,"Mohon maaf, sepertinya database saya saat ini tidak memiliki informasi yang cukup untuk menjawab pertanyaan Anda."
43,"Dalam konteks yang diberikan, deposito adalah penempatan dana pada bank yang memiliki jangka waktu tertentu dan suku bunga tetap. Deposito dapat dikelompokkan berdasarkan beberapa kriteria, seperti jangka waktu jatuh tempo dan kriteria sebagai simpanan yang dijamin oleh Lembaga Penjamin Simpanan (LPS). Deposito bank dalam negeri dikelompokkan sebagai berikut:

1. Deposito bank umum yang jatuh tempo kurang dari atau sama dengan 3 bulan sejak tanggal laporan MKBD (Manajemen Keuangan Bank dan Dana).

2. Deposito bank umum yang jatuh tempo lebih dari 3 bulan sejak tanggal laporan MKBD, dan dikelompokkan sebagai berikut:
   a) Deposito bank umum yang memenuhi kriteria sebagai simpanan yang dijamin oleh Lembaga Penjamin Simpanan (LPS) sesuai dengan ketentuan LPS, termasuk nilai batas penjaminan dan suku bunga maksimal.
   b) Deposito bank umum yang tidak memenuhi kriteria sebagai simpanan yang dijamin oleh LPS, yang dikelompokkan menjadi dua kategori:
      - Bank umum yang tidak sedang diajukan pailit, tidak dinyatakan pailit, atau tidak dalam proses likuidasi.
      - Bank umum yang sedang diajukan pailit, atau dinyatakan pailit, atau sedang dalam proses likuidasi.

Regulasi yang mengatur hal ini adalah Peraturan Otoritas Jasa Keuangan (OJK) Nomor 1/POJK.03/2016 tentang Laporan Keuangan Bank Umum."
